0,0.0053963,0.010793,0.016189,0.021585,0.026982,0.032378,0.037774,0.043171,0.048567,0.053963,0.05936,0.064756,0.070152,0.075549,0.080945,0.086341,0.091738,0.097134,0.10253,0.10793,0.11332,0.11872,0.12412,0.12951,0.13491,0.1403,0.1457,0.1511,0.15649,0.16189,0.16729,0.17268,0.17808,0.18348,0.18887,0.19427,0.19966,0.20506,0.21046,0.21585,0.22125,0.22665,0.23204,0.23744,0.24284,0.24823,0.25363,0.25902,0.26442,0.26863,0.27284,0.27705,0.28126,0.28547,0.28968,0.29389,0.29809,0.3023,0.30651,0.31072,0.31493,0.31914,0.32335,0.32756,0.33177,0.33598,0.34019,0.3444,0.34861,0.35281,0.35702,0.36123,0.36544,0.36965,0.37386,0.37807,0.38228,0.38649,0.3907,0.39491,0.39912,0.40333,0.40754,0.41174,0.41595,0.42016,0.42437,0.42858,0.43279,0.437,0.44121,0.44542,0.44963,0.45384,0.45805,0.46226,0.46646,0.47067,0.47607,0.48147,0.48686,0.49226,0.49766,0.50305,0.50845,0.51384,0.51924,0.52464,0.53003,0.53543,0.54083,0.54622,0.55162,0.55702,0.56241,0.56781,0.5732,0.5786,0.584,0.58939,0.59479,0.60019,0.60558,0.61098,0.61637,0.62177,0.62717,0.63256,0.63796,0.64336,0.64875,0.65415,0.65955,0.66494,0.67034,0.67573,0.68113,0.68653,0.69192,0.69732,0.70272,0.70811,0.71351,0.71891,0.7243,0.7297,0.73509,0.7393,0.74351,0.74772,0.75193,0.75614,0.76035,0.76456,0.76877,0.77298,0.77719,0.7814,0.78561,0.78981,0.79402,0.79823,0.80244,0.80665,0.81086,0.81507,0.81928,0.82349,0.8277,0.83191,0.83612,0.84033,0.84453,0.84874,0.85295,0.85716,0.86137,0.86558,0.86979,0.874,0.87821,0.88242,0.88663,0.89084,0.89505,0.89925,0.90346,0.90767,0.91188,0.91609,0.9203,0.92451,0.92872,0.93293,0.93714
0,0.0061137,0.012215,0.018304,0.024382,0.03045,0.036508,0.042556,0.048595,0.054625,0.060645,0.066655,0.072655,0.078645,0.084624,0.090592,0.096549,0.10249,0.10842,0.11434,0.12025,0.12614,0.13201,0.13788,0.14372,0.14956,0.15537,0.16118,0.16696,0.17274,0.1785,0.18425,0.18998,0.19571,0.20143,0.20713,0.21283,0.21853,0.22422,0.22991,0.2356,0.24129,0.24699,0.2527,0.25842,0.26415,0.26989,0.27566,0.28145,0.28726,0.29182,0.29639,0.30097,0.30556,0.31017,0.31478,0.3194,0.32403,0.32866,0.3333,0.33794,0.34259,0.34724,0.3519,0.35655,0.36121,0.36588,0.37055,0.37522,0.3799,0.38458,0.38926,0.39395,0.39864,0.40334,0.40805,0.41276,0.41748,0.42221,0.42694,0.43168,0.43642,0.44118,0.44594,0.4507,0.45547,0.46025,0.46503,0.46982,0.47461,0.47941,0.4842,0.489,0.4938,0.49859,0.50339,0.50818,0.51296,0.51774,0.52385,0.52996,0.53604,0.54212,0.54819,0.55425,0.5603,0.56634,0.57237,0.57839,0.5844,0.5904,0.59639,0.60237,0.60833,0.61429,0.62023,0.62617,0.63208,0.63799,0.64388,0.64976,0.65562,0.66146,0.6673,0.67311,0.67892,0.68471,0.69048,0.69624,0.70199,0.70773,0.71345,0.71917,0.72487,0.73057,0.73627,0.74196,0.74765,0.75334,0.75903,0.76473,0.77044,0.77616,0.78189,0.78763,0.7934,0.79919,0.805,0.80956,0.81413,0.81871,0.8233,0.82791,0.83252,0.83714,0.84177,0.8464,0.85104,0.85568,0.86033,0.86498,0.86964,0.87429,0.87896,0.88362,0.88829,0.89296,0.89764,0.90232,0.907,0.91169,0.91639,0.92109,0.92579,0.9305,0.93522,0.93995,0.94468,0.94942,0.95416,0.95892,0.96368,0.96844,0.97321,0.97799,0.98277,0.98756,0.99235,0.99715,1.0019,1.0067,1.0115,1.0163,1.0211,1.0259,1.0307
0,-0.00071717,-0.0014287,-0.0021348,-0.0028358,-0.0035319,-0.0042232,-0.0049097,-0.0055913,-0.006268,-0.0069395,-0.0076057,-0.0082661,-0.0089204,-0.0095682,-0.010209,-0.010842,-0.011467,-0.012083,-0.012689,-0.013285,-0.01387,-0.014442,-0.015002,-0.015548,-0.016079,-0.016594,-0.017093,-0.017573,-0.018035,-0.018477,-0.018898,-0.019297,-0.019674,-0.020026,-0.020352,-0.020653,-0.020927,-0.021172,-0.021388,-0.021573,-0.021728,-0.02185,-0.02194,-0.021995,-0.022016,-0.022001,-0.02195,-0.021862,-0.021736,-0.021612,-0.021465,-0.021296,-0.021106,-0.020896,-0.020666,-0.020416,-0.020148,-0.019862,-0.019558,-0.019238,-0.018901,-0.018549,-0.018182,-0.017801,-0.017406,-0.016997,-0.016576,-0.016143,-0.015698,-0.015242,-0.014776,-0.014299,-0.013813,-0.013318,-0.012814,-0.012302,-0.011783,-0.011256,-0.010723,-0.010184,-0.0096395,-0.0090896,-0.0085351,-0.0079764,-0.007414,-0.0068484,-0.0062801,-0.0057097,-0.0051376,-0.0045644,-0.0039905,-0.0034165,-0.0028429,-0.0022702,-0.0016991,-0.0011299,-0.0005634,-0,0.00071717,0.0014287,0.0021348,0.0028358,0.0035319,0.0042232,0.0049097,0.0055913,0.006268,0.0069395,0.0076057,0.0082661,0.0089204,0.0095682,0.010209,0.010842,0.011467,0.012083,0.012689,0.013285,0.01387,0.014442,0.015002,0.015548,0.016079,0.016594,0.017093,0.017573,0.018035,0.018477,0.018898,0.019297,0.019674,0.020026,0.020352,0.020653,0.020927,0.021172,0.021388,0.021573,0.021728,0.02185,0.02194,0.021995,0.022016,0.022001,0.02195,0.021862,0.021736,0.021612,0.021465,0.021296,0.021106,0.020896,0.020666,0.020416,0.020148,0.019862,0.019558,0.019238,0.018901,0.018549,0.018182,0.017801,0.017406,0.016997,0.016576,0.016143,0.015698,0.015242,0.014776,0.014299,0.013813,0.013318,0.012814,0.012302,0.011783,0.011256,0.010723,0.010184,0.0096395,0.0090896,0.0085351,0.0079764,0.007414,0.0068484,0.0062801,0.0057097,0.0051376,0.0045644,0.0039905,0.0034165,0.0028429,0.0022702,0.0016991,0.0011299,0.0005634
0.95,0.95241,0.95459,0.95653,0.95824,0.95971,0.96094,0.96194,0.96269,0.96322,0.96351,0.96357,0.9634,0.96302,0.96242,0.9616,0.96058,0.95937,0.95797,0.95638,0.95463,0.95271,0.95064,0.94843,0.94608,0.94362,0.94105,0.93838,0.93563,0.9328,0.92992,0.92699,0.92402,0.92103,0.91804,0.91504,0.91206,0.90911,0.9062,0.90334,0.90054,0.89781,0.89516,0.89261,0.89016,0.88782,0.8856,0.8835,0.88154,0.87972,0.8784,0.87718,0.87607,0.87507,0.87419,0.87344,0.87282,0.87235,0.87202,0.87184,0.87182,0.87195,0.87224,0.87269,0.8733,0.87407,0.875,0.87609,0.87733,0.87873,0.88027,0.88196,0.88378,0.88574,0.88782,0.89002,0.89233,0.89474,0.89724,0.89983,0.90249,0.90521,0.90799,0.9108,0.91364,0.91651,0.91938,0.92224,0.92508,0.9279,0.93067,0.9334,0.93605,0.93863,0.94112,0.94352,0.9458,0.94796,0.95,0.95241,0.95459,0.95653,0.95824,0.95971,0.96094,0.96194,0.96269,0.96322,0.96351,0.96357,0.9634,0.96302,0.96242,0.9616,0.96058,0.95937,0.95797,0.95638,0.95463,0.95271,0.95064,0.94843,0.94608,0.94362,0.94105,0.93838,0.93563,0.9328,0.92992,0.92699,0.92402,0.92103,0.91804,0.91504,0.91206,0.90911,0.9062,0.90334,0.90054,0.89781,0.89516,0.89261,0.89016,0.88782,0.8856,0.8835,0.88154,0.87972,0.8784,0.87718,0.87607,0.87507,0.87419,0.87344,0.87282,0.87235,0.87202,0.87184,0.87182,0.87195,0.87224,0.87269,0.8733,0.87407,0.875,0.87609,0.87733,0.87873,0.88027,0.88196,0.88378,0.88574,0.88782,0.89002,0.89233,0.89474,0.89724,0.89983,0.90249,0.90521,0.90799,0.9108,0.91364,0.91651,0.91938,0.92224,0.92508,0.9279,0.93067,0.9334,0.93605,0.93863,0.94112,0.94352,0.9458,0.94796
0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,0.22844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618,0.74618
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
